model_sampling,dataset_id,tunability_risk_diff
decision_tree__bayesian,1590,0.0276018057083616
decision_tree__bayesian,1510,0.0130693831377585
decision_tree__bayesian,1461,0.0
decision_tree__bayesian,24,0.0204227231915357
decision_tree__bayesian,40945,0.0009135802469134
decision_tree__random,1590,0.0291213221336444
decision_tree__random,1510,0.0069509758811264
decision_tree__random,1461,0.0
decision_tree__random,24,0.0434492068234536
decision_tree__random,40945,0.0041358024691356
decision_tree__grid,1590,0.0513813474962964
decision_tree__grid,1510,0.018636940072823
decision_tree__grid,1461,0.0
decision_tree__grid,24,0.0018574120573925
decision_tree__grid,40945,0.014862012115635
random_forest__bayesian,1590,0.010105078344456
random_forest__bayesian,1510,0.0019122920121937
random_forest__bayesian,1461,0.0164380834274543
random_forest__bayesian,24,0.0334472563540764
random_forest__bayesian,40945,0.0066839199447896
random_forest__random,1590,0.0039026555796874
random_forest__random,1510,0.0
random_forest__random,1461,0.0039215756663832
random_forest__random,24,0.0156324367716843
random_forest__random,40945,0.0066113028142013
random_forest__grid,1590,0.0220225198975146
random_forest__grid,1510,0.0041634171956805
random_forest__grid,1461,0.0242612207658509
random_forest__grid,24,0.0343891613129618
random_forest__grid,40945,0.0082676941952305
knn__bayesian,1590,0.0
knn__bayesian,1510,0.0012110453418184
knn__bayesian,1461,0.0
knn__bayesian,24,0.0
knn__bayesian,40945,0.0
knn__random,1590,0.0
knn__random,1510,0.0018389947783168
knn__random,1461,0.0
knn__random,24,0.0
knn__random,40945,0.0
knn__grid,1590,0.0
knn__grid,1510,0.0018762662105276
knn__grid,1461,0.0
knn__grid,24,0.0
knn__grid,40945,0.0
