model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
decision_tree,bayesian,1590,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,bayesian,1510,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,bayesian,1461,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,bayesian,24,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,bayesian,40945,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,random,1590,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,random,1510,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,random,1461,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,random,24,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,random,40945,75,0.0,1.0,0.0,1.0,0.0,25
decision_tree,grid,1590,75,0.0,1.0,0.0,1.0,0.0,16
decision_tree,grid,1510,75,0.0,1.0,0.0,1.0,0.0,16
decision_tree,grid,1461,75,0.0,1.0,0.0,1.0,0.0,16
decision_tree,grid,24,75,0.0,1.0,0.0,1.0,0.0,16
decision_tree,grid,40945,75,0.0,1.0,0.0,1.0,0.0,16
random_forest,bayesian,1590,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,bayesian,1510,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,bayesian,1461,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,bayesian,24,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,bayesian,40945,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,random,1590,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,random,1510,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,random,1461,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,random,24,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,random,40945,75,0.0,1.0,0.0,1.0,0.0,25
random_forest,grid,1590,75,0.0,1.0,0.0,1.0,0.0,16
random_forest,grid,1510,75,0.0,1.0,0.0,1.0,0.0,16
random_forest,grid,1461,75,0.0,1.0,0.0,1.0,0.0,16
random_forest,grid,24,75,0.0,1.0,0.0,1.0,0.0,16
random_forest,grid,40945,75,0.0,1.0,0.0,1.0,0.0,16
knn,bayesian,1590,75,0.0,1.0,0.0,1.0,0.0,25
knn,bayesian,1510,75,0.0,1.0,0.0,1.0,0.0,25
knn,bayesian,1461,75,0.0,1.0,0.0,1.0,0.0,25
knn,bayesian,24,75,0.0,1.0,0.0,1.0,0.0,25
knn,bayesian,40945,75,0.0,1.0,0.0,1.0,0.0,25
knn,random,1590,75,0.0,1.0,0.0,1.0,0.0,25
knn,random,1510,75,0.0,1.0,0.0,1.0,0.0,25
knn,random,1461,75,0.0,1.0,0.0,1.0,0.0,25
knn,random,24,75,0.0,1.0,0.0,1.0,0.0,25
knn,random,40945,75,0.0,1.0,0.0,1.0,0.0,25
knn,grid,1590,75,0.0,1.0,0.0,1.0,0.0,21
knn,grid,1510,75,0.0,1.0,0.0,1.0,0.0,21
knn,grid,1461,75,0.0,1.0,0.0,1.0,0.0,21
knn,grid,24,75,0.0,1.0,0.0,1.0,0.0,21
knn,grid,40945,75,0.0,1.0,0.0,1.0,0.0,21
svm,bayesian,1590,75,0.0,1.0,0.0,1.0,0.0,25
svm,bayesian,1510,75,0.0,1.0,0.0,1.0,0.0,25
svm,bayesian,1461,75,0.0,1.0,0.0,1.0,0.0,25
svm,bayesian,24,75,0.0,1.0,0.0,1.0,0.0,25
svm,bayesian,40945,75,0.0,1.0,0.0,1.0,0.0,25
svm,random,1590,75,0.0,1.0,0.0,1.0,0.0,25
svm,random,1510,75,0.0,1.0,0.0,1.0,0.0,25
svm,random,1461,75,0.0,1.0,0.0,1.0,0.0,25
svm,random,24,75,0.0,1.0,0.0,1.0,0.0,25
svm,random,40945,75,0.0,1.0,0.0,1.0,0.0,25
svm,grid,1590,75,0.0,1.0,0.0,1.0,0.0,25
svm,grid,1510,75,0.0,1.0,0.0,1.0,0.0,25
svm,grid,1461,75,0.0,1.0,0.0,1.0,0.0,25
svm,grid,24,75,0.0,1.0,0.0,1.0,0.0,25
svm,grid,40945,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,bayesian,1590,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,bayesian,1510,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,bayesian,1461,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,bayesian,24,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,bayesian,40945,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,random,1590,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,random,1510,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,random,1461,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,random,24,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,random,40945,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,grid,1590,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,grid,1510,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,grid,1461,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,grid,24,75,0.0,1.0,0.0,1.0,0.0,25
xgboost,grid,40945,75,0.0,1.0,0.0,1.0,0.0,25
